Unnamed: 0,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
54,AR,White River Medical Center,Batesville,212,"7,649","33,762","$630,015"
55,AR,Willow Creek Women's Hospital,Johnson,30,"3,357","11,571","$38,243"
0,AS,LBJ Tropical Medical Center,Pago Pago,131,"4,607","28,024","$68,160"
0,AZ,Abrazo Arizona Heart Hospital,Phoenix,0,0,0,$0
1,AZ,Abrazo Arrowhead Campus,Glendale,270,"15,603","69,689","$3,651,546"
2,AZ,Abrazo Cave Creek Hospital,Cave Creek,0,0,0,$0
3,AZ,Abrazo Central Campus,Phoenix,177,"5,985","32,810","$1,325,596"
4,AZ,Abrazo Scottsdale Campus,Phoenix,128,"4,105","18,415","$1,167,628"
5,AZ,Abrazo Surprise Hospital,Surprise,0,0,0,$0
6,AZ,Abrazo West Campus,Goodyear,197,"11,959","61,133","$2,600,494"
7,AZ,Arizona Specialty Hospital,Chandler,24,786,"1,683","$163,107"
8,AZ,Arizona Spine and Joint Hospital,Mesa,23,"1,308","1,551","$202,395"
9,AZ,Banner - University Medical Center Tucson,Tucson,505,"24,421","166,079","$3,744,871"
10,AZ,Banner - University Medical Center Phoenix,Phoenix,662,"32,942","213,527","$4,629,210"
11,AZ,Banner - University Medical Center South Campus,Tucson,162,"7,080","40,379","$771,843"
12,AZ,Banner Baywood Medical Center,Mesa,340,"13,608","79,119","$1,566,602"
13,AZ,Banner Boswell Medical Center,Sun City,501,"15,539","83,444","$1,973,160"
14,AZ,Banner Casa Grande Medical Center,Casa Grande,141,"6,083","32,412","$806,346"
15,AZ,Banner Del E. Webb Medical Center,Sun City West,391,"17,407","84,758","$1,855,593"
16,AZ,Banner Desert Medical Center,Mesa,629,"33,831","186,657","$3,997,192"
17,AZ,Banner Estrella Medical Center,Phoenix,317,"20,298","97,223","$2,072,003"
18,AZ,Banner Gateway Medical Center,Gilbert,185,"12,459","57,768","$2,164,443"
19,AZ,Banner Goldfield Medical Center,Apache Junction,20,922,"3,016","$136,311"
20,AZ,Banner Heart Hospital,Mesa,108,"4,942","22,718","$832,153"
21,AZ,Banner Ironwood Medical Center,Queen Creek,89,"5,756","21,190","$552,630"
22,AZ,Banner Ocotillo Medical Center,Chandler,94,"3,510","14,883","$367,182"
23,AZ,Banner Thunderbird Medical Center,Glendale,595,"25,358","135,340","$3,067,094"
24,AZ,Canyon Vista Medical Center,Sierra Vista,93,"4,012","15,679","$569,778"
25,AZ,Carl T. Hayden Veterans' Administration Medical Center,Phoenix,0,0,0,$0
26,AZ,Carondelet Heart & Vascular Institute,Tucson,60,"1,162","4,175","$128,262"
27,AZ,Chandler Regional Medical Center,Chandler,379,"26,654","122,404","$3,933,331"
28,AZ,Chinle Comprehensive Health Care Facility,Chinle,60,"1,599","6,112",$0
29,AZ,City of Hope Phoenix Comprehensive Care and Research Center,Goodyear,38,539,"2,237",$0
30,AZ,Dignity Health - Arizona General Hospital Laveen,Laveen,16,574,"2,044","$592,167"
31,AZ,Dignity Health - Arizona General Hospital Mesa,Mesa,50,"1,942","10,211","$644,185"
32,AZ,East Valley ER & Hospital,Gilbert,0,0,0,$0
33,AZ,Exceptional Community Hospital - Maricopa,Maricopa,0,0,0,$0
34,AZ,Exceptional Community Hospital - Yuma,Yuma,0,0,0,$0
35,AZ,Flagstaff Medical Center,Flagstaff,268,"11,031","61,354","$1,410,769"
36,AZ,Florence Hospital,Florence,0,0,0,$0
37,AZ,Havasu Regional Medical Center,Lake Havasu City,163,"5,515","25,972","$1,508,087"
38,AZ,HonorHealth Deer Valley Medical Center,Phoenix,204,"11,309","59,737","$2,158,889"
39,AZ,HonorHealth John C. Lincoln Medical Center,Phoenix,258,"10,659","59,624","$3,050,897"
40,AZ,HonorHealth Scottsdale Osborn Medical Center,Scottsdale,351,"13,585","67,274","$2,633,515"
41,AZ,HonorHealth Scottsdale Shea Medical Center,Scottsdale,427,"14,658","101,585","$3,489,078"
42,AZ,HonorHealth Scottsdale Thompson Peak Medical Center,Scottsdale,120,"5,972","27,247","$1,065,510"
43,AZ,HonorHealth Sonoran Crossing Medical Center,Phoenix,70,"2,143","9,679","$422,336"
44,AZ,Kingman Regional Medical Center,Kingman,214,"7,675","43,679","$1,932,300"
45,AZ,"Mayo Clinic Hospital, Phoenix Arizona",Phoenix,306,"16,494","92,745","$4,366,755"
46,AZ,Mercy Gilbert Medical Center,Gilbert,197,"16,822","69,240","$2,151,847"
47,AZ,Mountain Vista Medical Center,Mesa,182,"7,218","32,571","$1,094,254"
48,AZ,Northern Arizona VA Health Care System,Prescott,0,0,0,$0
49,AZ,Northwest Medical Center,Tucson,254,"13,020","60,986","$2,869,658"
50,AZ,Northwest Medical Center Sahuarita,Sahuarita,36,"1,506","3,903","$381,015"
51,AZ,OASIS Hospital,Phoenix,64,"2,434","5,281","$247,352"
52,AZ,Oro Valley Hospital,Tucson,176,"4,428","18,849","$1,231,039"
53,AZ,Phoenix ER & Medical Hospital,Chandler,0,0,0,$0
54,AZ,Phoenix Indian Medical Center,Phoenix,133,"1,310","5,761",$0
55,AZ,Saint Joseph's Hospital,Tucson,486,"11,811","57,827","$2,364,178"
56,AZ,Saint Joseph's Westgate Medical Center,Glendale,0,0,0,$0
57,AZ,Saint Mary's Hospital,Tucson,408,"7,630","41,755","$1,607,324"
58,AZ,San Carlos Apache Healthcare,Peridot,12,814,"2,951",$0
59,AZ,Sells Indian Hospital,Sells,14,174,602,$0
60,AZ,Southern Arizona VA Health Care System,Tucson,0,0,0,$0
61,AZ,St. Joseph's Hospital and Medical Center,Phoenix,553,"30,853","172,709","$5,300,955"
62,AZ,Steward Mesa Hospital,Mesa,0,0,0,$0
63,AZ,Summit Healthcare Regional Medical Center,Show Low,101,"5,748","21,579","$848,465"
64,AZ,Tempe Saint Luke's Hospital,Tempe,64,"2,844","11,386","$398,332"
65,AZ,The CORE Institute Specialty Hospital,Phoenix,28,816,927,"$354,244"
66,AZ,Tsehootsooi Medical Center,Fort Defiance,56,"2,308","7,268",$0
67,AZ,Tuba City Indian Medical Center,Tuba City,73,"1,436","7,556",$0
68,AZ,Tucson ER & Hospital,Tucson,0,0,0,$0
69,AZ,Tucson Medical Center,Tucson,515,"28,900","136,617","$2,621,744"
70,AZ,Valley View Medical Center,Fort Mohave,84,"1,535","7,181","$507,451"
71,AZ,Valleywise Behavioral Health Center-Maryvale,Phoenix,228,"3,640","15,153","$337,726"
72,AZ,Valleywise Health Medical Center,Phoenix,738,"13,185","69,705","$2,562,415"
73,AZ,Verde Valley Medical Center,Cottonwood,87,"4,947","21,155","$722,433"
74,AZ,Verde Valley Medical Center - Sedona Campus,Sedona,0,0,0,$0
75,AZ,Western Arizona Regional Medical Center,Bullhead City,99,"3,479","19,726","$1,332,685"
76,AZ,Whiteriver Indian Hospital,Whiteriver,40,"1,300","4,188",$0
77,AZ,Yavapai Regional Medical Center - East,Prescott Valley,56,"4,182","14,511","$374,590"
78,AZ,Yavapai Regional Medical Center - West,Prescott,213,"15,739","58,215","$1,586,745"
79,AZ,Yuma Regional Medical Center,Yuma,406,"12,394","61,819","$2,753,013"
0,CA,Adventist Health Simi Valley,Simi Valley,144,"7,430","34,626","$1,003,713"
1,CA,Downey Medical Center,Downey,352,"15,926","72,198","$2,699,939"
2,CA,MarinHealth Medical Center,Greenbrae,327,"8,120","40,765","$2,788,535"
3,CA,Providence Saint John's Health Center,Santa Monica,266,"11,539","52,275","$1,414,494"
4,CA,Woodland Hills Medical Center,Woodland Hills,274,"9,782","36,430","$1,393,754"
5,CA,60th Medical Group - Travis Air Force Base,Travis Air Force Base,0,0,0,$0
6,CA,Adventist Health and Rideout,Marysville,209,"12,041","68,120","$1,926,023"
7,CA,Adventist Health Bakersfield,Bakersfield,254,"15,753","71,664","$2,492,798"
8,CA,Adventist Health Delano,Delano,109,"2,092","9,670","$224,116"
9,CA,Adventist Health Glendale,Glendale,451,"15,325","73,230","$3,098,812"
10,CA,Adventist Health Hanford,Hanford,235,"10,652","55,386","$1,377,252"
11,CA,Adventist Health Lodi Memorial,Lodi,194,"6,637","29,112","$1,714,799"
12,CA,Adventist Health Reedley,Reedley,49,"1,746","5,780","$350,757"
13,CA,Adventist Health Saint Helena,Saint Helena,127,"3,481","20,886","$1,297,851"
14,CA,Adventist Health Selma,Selma,0,0,0,$0
15,CA,Adventist Health Sonora,Sonora,152,"4,213","16,115","$1,269,245"
16,CA,Adventist Health Tulare,Tulare,73,"2,348","9,231","$267,223"
17,CA,Adventist Health Ukiah Valley,Ukiah,50,"3,415","14,631","$693,319"
18,CA,Adventist Health Vallejo,Vallejo,0,0,0,$0
19,CA,Adventist Health White Memorial,Los Angeles,353,"17,061","78,368","$2,780,150"
20,CA,AHMC Seton Medical Center,Daly City,434,"1,353","18,178","$1,048,022"
21,CA,AHMC Seton Medical Center Coastside,Moss Beach,0,0,0,$0
22,CA,Alameda Hospital,Alameda,247,"2,467","11,865","$601,334"
23,CA,Alhambra Hospital Medical Center,Alhambra,144,"3,588","17,831","$494,328"
24,CA,Alta Bates Summit Medical Center,Oakland,461,"10,414","48,872","$1,809,679"
25,CA,Alta Bates Summit Medical Center Herrick Campus,Berkeley,0,0,0,$0
26,CA,Alta Bates Summit Medical Center Alta Bates Campus,Berkeley,383,"11,280","56,067","$1,807,602"
27,CA,Alvarado Hospital Medical Center,San Diego,256,"4,896","24,030","$498,783"
28,CA,Anaheim Global Medical Center,Anaheim,189,"1,821","11,294","$271,541"
29,CA,Anaheim Medical Center,Anaheim,526,"24,810","106,634","$3,753,164"
30,CA,Anaheim Regional Medical Center,Anaheim,223,"6,656","33,247","$949,999"
31,CA,Antelope Valley Hospital,Lancaster,393,"17,950","88,544","$1,945,836"
32,CA,Antioch Medical Center,Antioch,136,"8,455","32,893","$1,473,084"
33,CA,Arrowhead Regional Medical Center,Colton,456,"17,689","111,738","$2,413,021"
34,CA,Arroyo Grande Community Hospital,Arroyo Grande,67,"4,298","14,331","$542,368"
35,CA,Bakersfield Heart Hospital,Bakersfield,44,"2,563","14,281","$398,579"
36,CA,Bakersfield Memorial Hospital,Bakersfield,370,"16,810","76,067","$2,309,113"
37,CA,Baldwin Park Medical Center,Baldwin Park,272,"10,404","43,995","$2,021,895"
38,CA,Barstow Community Hospital,Barstow,30,"2,159","8,776","$555,093"
39,CA,Barton Memorial Hospital,South Lake Tahoe,111,"1,544","6,938","$553,595"
40,CA,Beverly Hospital,Montebello,202,"8,349","35,663","$502,710"
41,CA,California Hospital Medical Center,Los Angeles,318,"14,914","72,365","$1,501,569"
42,CA,California Men's Colony Hospital,San Luis Obispo,0,0,0,$0
43,CA,Casa Colina Hospital and Centers for Healthcare,Pomona,99,"1,124","4,655","$276,674"
44,CA,Cedars Sinai Marina Del Rey Hospital,Marina Del Rey,103,"4,550","21,100","$919,609"
45,CA,Cedars-Sinai Medical Center,Los Angeles,882,"50,743","295,623","$24,011,917"
46,CA,Centinela Hospital Medical Center,Inglewood,345,"13,188","66,366","$1,193,078"
47,CA,CHA Hollywood Presbyterian Medical Center,Los Angeles,434,"14,104","68,117","$1,481,689"
48,CA,Chapman Global Medical Center,Orange,114,"1,917","7,062","$252,664"
49,CA,Chinese Hospital,San Francisco,80,"1,300","9,471","$255,266"
50,CA,Chino Valley Medical Center,Chino,112,"4,005","18,324","$383,341"
51,CA,City of Hope Comprehensive Cancer Center,Duarte,217,"7,535","75,111","$6,254,517"
52,CA,Clovis Community Medical Center,Clovis,280,"17,408","90,350","$2,531,980"
53,CA,Coast Plaza Hospital,Norwalk,117,"1,994","11,034","$234,343"
54,CA,College Hospital Costa Mesa,Costa Mesa,122,"3,993","41,862","$104,138"
55,CA,College Medical Center,Long Beach,221,"5,346","57,323","$262,219"
56,CA,Colusa Medical Center,Colusa,53,649,"2,612","$64,968"
57,CA,Community Hospital of Huntington Park,Huntington Park,85,"3,127","14,874","$385,587"
58,CA,Community Hospital of San Bernardino,San Bernardino,347,"6,238","30,400","$1,250,537"
59,CA,Community Hospital of the Monterey Peninsula,Monterey,286,"11,893","53,647","$2,328,549"
60,CA,Community Memorial Hospital,Ventura,229,"14,905","55,458","$1,630,897"
61,CA,Community Regional Medical Center,Fresno,851,"37,166","269,536","$5,928,864"
62,CA,Concord Medical Center,Concord,244,"10,675","57,091","$3,383,817"
63,CA,Contra Costa Regional Medical Center,Martinez,167,"6,314","31,186","$763,031"
64,CA,Corona Regional Medical Center,Corona,238,"7,751","37,198","$1,393,711"
65,CA,CPMC - Van Ness Campus,San Francisco,292,"14,717","82,083","$2,692,193"
66,CA,CPMC Davies Campus,San Francisco,191,"3,012","13,488","$722,928"
67,CA,CPMC Mission Bernal Campus,San Francisco,120,"4,446","20,862","$567,219"
68,CA,Dameron Hospital,Stockton,170,"3,249","14,790","$1,066,883"
69,CA,Desert Regional Medical Center,Palm Springs,369,"15,952","91,118","$4,945,038"
70,CA,Desert Valley Hospital,Victorville,148,"8,697","40,833","$952,722"
71,CA,Docs Surgical Hospital,Los Angeles,17,743,956,"$103,023"
72,CA,Doctors Hospital of Manteca,Manteca,73,"3,324","15,623","$1,265,289"
73,CA,Doctors Medical Center of Modesto,Modesto,447,"20,137","117,587","$7,450,132"
74,CA,Dominican Hospital,Santa Cruz,222,"8,801","46,736","$2,192,875"
75,CA,East Los Angeles Doctors Hospital,Los Angeles,127,"2,303","11,034","$279,404"
76,CA,Eden Medical Center,Castro Valley,126,"8,618","39,611","$1,279,081"
77,CA,Eisenhower Medical Center,Rancho Mirage,347,"22,271","80,922","$4,744,607"
78,CA,El Camino Health - Los Gatos Hospital,Los Gatos,0,0,0,$0
79,CA,El Camino Health - Mountain View Hospital,Mountain View,454,"24,658","90,960","$5,013,529"
80,CA,El Centro Regional Medical Center,El Centro,161,"4,622","26,921","$792,636"
81,CA,Emanate Health Foothill Presbyterian Hospital,Glendora,105,"4,536","24,197","$521,206"
82,CA,Emanate Health Inter-Community Hospital,Covina,516,"20,453","98,895","$1,873,818"
83,CA,Emanate Health Queen of the Valley Hospital,West Covina,325,"17,166","93,266","$661,125"
84,CA,Emanuel Medical Center,Turlock,209,"9,048","39,416","$3,025,866"
85,CA,Encino Hospital Medical Center,Encino,148,"1,330","5,851","$230,218"
86,CA,Enloe Medical Center,Chico,338,"18,474","83,695","$3,968,675"
87,CA,Fairmont Rehabilitation and Wellness,San Leandro,0,0,0,$0
88,CA,Fontana Medical Center,Fontana,674,"30,679","143,828","$4,581,301"
89,CA,Foothill Regional Medical Center,Tustin,127,"3,705","13,111","$396,053"
90,CA,Fountain Valley Regional Hospital,Fountain Valley,400,"14,532","78,012","$3,160,162"
91,CA,French Hospital Medical Center,San Luis Obispo,98,"4,775","21,129","$850,416"
92,CA,Fresno Heart & Surgical Hospital,Fresno,57,"3,127","11,353","$331,411"
93,CA,Fresno Medical Center,Fresno,169,"8,771","36,662","$1,537,760"
94,CA,Fresno Surgical Hospital,Fresno,27,"1,582","3,134","$328,975"
95,CA,Fresno VA Medical Center,Fresno,0,0,0,$0
96,CA,Garden Grove Hospital and Medical Center,Garden Grove,167,"2,955","15,744","$300,541"
97,CA,Garfield Medical Center,Monterey Park,210,"7,890","42,878","$1,577,956"
98,CA,Glendale Memorial Hospital & Health Center,Glendale,304,"5,441","32,776","$1,057,560"
