,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Longitude,Latitude,Full_Address,fips_code,county_name
26,AL,Central Alabama Veterans Health Care System - West Campus,Montgomery,0,0,0,0,-86.2435422,32.37709570000001,"215 Perry Hill Rd, Montgomery, AL 36109, USA",01101,Montgomery County
27,AL,Citizens Baptist Medical Center,Talladega,103,1893,9521,276690,-86.0903316,33.440248,"604 Stone Ave, Talladega, AL 35160, USA",01121,Talladega County
28,AL,Clay County Hospital,Ashland,129,873,4080,38778,-85.8239464,33.2773432,"83825 AL-9, Ashland, AL 36251, USA",01027,Clay County
29,AL,Community Hospital,Tallassee,47,350,1593,28759,-85.9123429,32.5339817,"805 Friendship Rd, Tallassee, AL 36078, USA",01051,Elmore County
30,AL,Coosa Valley Medical Center,Sylacauga,142,2715,12541,300843,-86.2554621,33.1647698,"315 W Hickory St, Sylacauga, AL 35150, USA",01121,Talladega County
31,AL,Crenshaw Community Hospital,Luverne,49,353,1738,37390,-86.2647235,31.6936146,"101 Hospital Dr, Luverne, AL 36049, USA",01041,Crenshaw County
32,AL,Crestwood Medical Center,Huntsville,174,8561,38278,3148889,-86.572518,34.693382,"1 Hospital Drive Southwest, Huntsville, AL 35801, USA",01089,Madison County
33,AL,Cullman Regional Medical Center,Cullman,137,7669,33540,675767,-86.805534,34.2011406,"1912 AL-157, Cullman, AL 35058, USA",01043,Cullman County
34,AL,D.W. McMillan Memorial Hospital,Brewton,46,1122,4313,136311,-87.0732884,31.1270423,"1301 Belleville Ave, Brewton, AL 36426, USA",01053,Escambia County
35,AL,Dale Medical Center,Ozark,89,1228,6851,125677,-85.6319738,31.4516036,"126 Hospital Ave, Ozark, AL 36360, USA",01045,Dale County
36,AL,DCH Regional Medical Center,Tuscaloosa,468,31691,126916,1927773,-87.52783699999999,33.2044846,"809 University Blvd E, Tuscaloosa, AL 35401, USA",01125,Tuscaloosa County
37,AL,Decatur Morgan Hospital,Decatur,352,8672,46437,568257,-86.97195049999999,34.5903214,"1201 7th St SE, Decatur, AL 35601, USA",01103,Morgan County
38,AL,Decatur Morgan Hospital Parkway Campus,Decatur,120,1560,5928,186633,-87.0160009,34.577133,"1874 Beltline Rd SW, Decatur, AL 35603, USA",01103,Morgan County
39,AL,DeKalb Regional Medical Center,Fort Payne,115,2440,10461,473504,-85.7560551,34.4410833,"200 Medical Center Dr SW, Fort Payne, AL 35968, USA",01049,DeKalb County
40,AL,EAMC - Lanier,Valley,29,460,2106,0,-85.16867479999999,32.8246546,"4800 48th St, Valley, AL 36854, USA",01017,Chambers County
41,AL,East Alabama Medical Center,Opelika,320,15434,77586,961669,-85.3782795,32.6454116,"Opelika, AL, USA",01081,Lee County
42,AL,Elmore Community Hospital,Wetumpka,33,849,4433,38955,-86.1862103,32.5523112,"500 Hospital Dr, Wetumpka, AL 36092, USA",01051,Elmore County
43,AL,Evergreen Medical Center,Evergreen,44,1172,4614,41527,-86.9406164,31.4309603,"101 Crestview St, Evergreen, AL 36401, USA",01035,Conecuh County
44,AL,Fayette Medical Center,Fayette,132,554,1866,0,-87.824281,33.7080444,"1653 Temple Ave N, Fayette, AL 35555, USA",01057,Fayette County
45,AL,Flowers Hospital,Dothan,193,12030,57381,2645980,-85.45698809999999,31.237823,"4370 W Main St, Dothan, AL 36305, USA",01069,Houston County
46,AL,Gadsden Regional Medical Center,Gadsden,234,9675,52468,2799599,-85.9657366,34.0077767,"1007 Goodyear Ave, Gadsden, AL 35903, USA",01055,Etowah County
47,AL,Grandview Medical Center,Birmingham,434,23478,118144,6740642,-86.7180072,33.4329496,"3690 Grandview Pkwy, Birmingham, AL 35243, USA",01073,Jefferson County
48,AL,Greene County Health System,Eutaw,92,230,1358,22637,-87.8875145,32.8406848,"Eutaw, AL 35462, USA",01063,Greene County
49,AL,Grove Hill Memorial Hospital,Grove Hill,30,396,1631,33290,-87.7760974,31.6942828,"295 S Jackson St, Grove Hill, AL 36451, USA",01025,Clarke County
50,AL,Hale County Hospital,Greensboro,28,384,1166,19713,-87.5869553,32.6954931,"508 Green St, Greensboro, AL 36744, USA",01065,Hale County
51,AL,Helen Keller Hospital,Sheffield,178,6553,28212,498881,-87.6997416,34.7458826,"1300 S Montgomery Ave, Sheffield, AL 35660, USA",01033,Colbert County
52,AL,Highlands Medical Center,Scottsboro,95,2041,9827,134434,-86.0478155,34.6622218,"380 Woods Cove Rd, Scottsboro, AL 35768, USA",01071,Jackson County
53,AL,Hill Hospital Of Sumter County,York,33,333,3715,7855,-88.2954427,32.4919854,"751 Derby Dr, York, AL 36925, USA",01119,Sumter County
54,AL,Huntsville Hospital,Huntsville,939,50541,266153,5851760,-86.5861037,34.7303688,"Huntsville, AL, USA",01089,Madison County
55,AL,J. Paul Jones Hospital,Camden,21,89,360,7763,-87.3001801,31.9974963,"317 McWilliams Avenue, Camden, AL 36726, USA",01131,Wilcox County
56,AL,Jack Hughston Memorial Hospital,Phenix City,47,2755,7022,219587,-85.0088253,32.508172,"4401 Riverchase Dr, Phenix City, AL 36867, USA",01113,Russell County
57,AL,Jackson Hospital,Montgomery,278,11741,69733,1259635,-86.2853492,32.36708309999999,"1725 Pine St, Montgomery, AL 36106, USA",01101,Montgomery County
58,AL,Jackson Medical Center,Jackson,35,666,2571,32058,-87.89508029999999,31.53110209999999,"220 Hospital Dr, Jackson, AL 36545, USA",01025,Clarke County
59,AL,Lake Martin Community Hospital,Dadeville,46,418,1762,17411,-85.7410034,32.8186652,"201 Mariarden Rd, Dadeville, AL 36853, USA",01123,Tallapoosa County
60,AL,Lakeland Community Hospital,Haleyville,58,892,3265,66958,-87.59151949999999,34.2417744,"42024 AL-195, Haleyville, AL 35565, USA",01133,Winston County
61,AL,Lawrence Medical Center,Moulton,43,367,1004,28230,-87.28531939999999,34.4833582,"202 Hospital St, Moulton, AL 35650, USA",01079,Lawrence County
62,AL,Madison Hospital,Madison,0,0,0,0,-86.7645537,34.7475412,"8375 Hwy 72 W, Madison, AL 35758, USA",01089,Madison County
63,AL,Marshall Medical Center North,Guntersville,90,4712,18949,170481,-86.4214375,34.3648291,"8000 AL-69, Guntersville, AL 35976, USA",01095,Marshall County
64,AL,Marshall Medical Center South,Boaz,178,6446,35493,520321,-86.1609084,34.222103,"2505 US-431, Boaz, AL 35957, USA",01095,Marshall County
65,AL,Medical Center Barbour,Eufaula,47,1055,4571,76099,-85.1563565,31.8887641,"820 W Washington St, Eufaula, AL 36027, USA",01005,Barbour County
66,AL,Medical Center Enterprise,Enterprise,99,3547,14584,807240,-85.8551648,31.3186298,"400 N Edwards St, Enterprise, AL 36330, USA",01031,Coffee County
67,AL,Medical West,Bessemer,246,5925,34646,570461,-86.954437,33.4017766,"Bessemer, AL, USA",01073,Jefferson County
68,AL,Mizell Memorial Hospital,Opp,59,1204,5066,66372,-86.2541461,31.2920202,"702 N Main St, Opp, AL 36467, USA",01039,Covington County
69,AL,Mobile Infirmary Medical Center,Mobile,654,22575,146209,1256284,-88.0805831,30.6970558,"5 Mobile Infirmary Cir, Mobile, AL 36607, USA",01097,Mobile County
70,AL,Monroe County Hospital,Monroeville,46,917,3352,84182,-87.32082020000001,31.4979927,"2016 S Alabama Ave, Monroeville, AL 36460, USA",01099,Monroe County
71,AL,North Alabama Medical Center,Florence,223,11701,60090,1054075,-87.6509265,34.8046648,"1701 Veterans Dr, Florence, AL 35630, USA",01077,Lauderdale County
72,AL,North Alabama Shoals Hospital,Muscle Shoals,184,1365,7164,111554,-87.6762576,34.747193,"201 W Avalon Ave, Muscle Shoals, AL 35661, USA",01033,Colbert County
73,AL,North Baldwin Infirmary,Bay Minette,48,2069,6255,98428,-87.7850321,30.9035455,"1815 Hand Ave, Bay Minette, AL 36507, USA",01003,Baldwin County
74,AL,North Mississippi Medical Center - Hamilton,Hamilton,115,370,882,70662,-87.991475,34.126778,"1256 Military St S, Hamilton, AL 35570, USA",01093,Marion County
75,AL,Northport Medical Center,Northport,207,5073,26754,0,-87.5707683,33.2337673,"2700 Hospital Dr, Northport, AL 35476, USA",01125,Tuscaloosa County
76,AL,Northwest Regional Health,Winfield,38,866,3891,123371,-87.82441399999999,33.9303336,"1530 US-43, Winfield, AL 35594, USA",01093,Marion County
77,AL,Prattville Baptist Hospital,Prattville,77,3049,15984,250284,-86.45192329999999,32.463945,"124 S Memorial Dr, Prattville, AL 36067, USA",01001,Autauga County
78,AL,Princeton Baptist Medical Center,Birmingham,303,10382,57300,1990337,-86.84703999999999,33.4984094,"701 Princeton Ave SW, Birmingham, AL 35211, USA",01073,Jefferson County
79,AL,Providence Hospital,Mobile,349,12024,68217,934506,-88.1987853,30.6789138,"6801 Airport Blvd #7b, Mobile, AL 36608, USA",01097,Mobile County
80,AL,Regional Medical Center of Central Alabama,Greenville,57,669,3081,164248,-86.6461325,31.829198,"29 L V Stabler Dr, Greenville, AL 36037, USA",01013,Butler County
81,AL,Riverview Regional Medical Center,Gadsden,281,5775,30959,949734,-86.0034532,34.0045179,"600 S 3rd St, Gadsden, AL 35901, USA",01055,Etowah County
82,AL,RMC Anniston,Anniston,445,11697,60065,1713824,-85.8234961,33.6555729,"400 E 10th St, Anniston, AL 36207, USA",01015,Calhoun County
83,AL,Russell Medical Center,Alexander City,45,1716,6263,245084,-85.96999249999999,32.9308279,"3316 US-280, Alexander City, AL 35010, USA",01123,Tallapoosa County
84,AL,Russellville Hospital,Russellville,49,1006,4453,116848,-87.7184395,34.5107486,"15155 Hwy 43, Russellville, AL 35653, USA",01059,Franklin County
85,AL,Shelby Baptist Medical Center,Alabaster,252,7949,44191,1515339,-86.81298699999999,33.2528868,"1000 1st St N, Alabaster, AL 35007, USA",01117,Shelby County
86,AL,South Baldwin Regional Medical Center,Foley,112,5299,24427,1771777,-87.6843095,30.4257031,"1613 N McKenzie St, Foley, AL 36535, USA",01003,Baldwin County
87,AL,Southeast Health Medical Center,Dothan,353,18814,103997,2049779,-85.3625287,31.2159117,"1108 Ross Clark Cir, Dothan, AL 36301, USA",01069,Houston County
88,AL,Springhill Medical Center,Mobile,200,9602,56458,679441,-88.1311644,30.6845538,"3719 Dauphin St, Mobile, AL 36608, USA",01097,Mobile County
89,AL,Stringfellow Campus of Northeast Alabama Regional Medical Center,Anniston,125,2133,11244,449530,-85.8234961,33.6555729,"400 E 10th St, Anniston, AL 36207, USA",01015,Calhoun County
90,AL,Thomas Hospital,Fairhope,141,10712,47679,611761,-87.8896788,30.5187996,"750 Morphy Ave, Fairhope, AL 36532, USA",01003,Baldwin County
91,AL,TRMC Alabama,Thomasville,29,248,623,38691,-87.745143,31.8761846,"300 Med Park Drive, Thomasville, AL 36784, USA",01025,Clarke County
92,AL,Troy Regional Medical Center,Troy,59,921,3862,160727,-85.9451783,31.7812782,"1330 US-231, Troy, AL 36081, USA",01109,Pike County
93,AL,UAB Callahan Eye Hospital,Birmingham,6,140,363,299416,-86.8025037,33.5036583,"1720 University Blvd, Birmingham, AL 35233, USA",01073,Jefferson County
94,AL,UAB Hospital,Birmingham,1295,47810,370013,10318705,-86.8103567,33.5185892,"Birmingham, AL, USA",01073,Jefferson County
95,AL,UAB Hospital - Highlands,Birmingham,73,3641,12477,288780,-86.80634200000001,33.4947118,"1201 11th Ave S, Birmingham, AL 35205, USA",01073,Jefferson County
96,AL,USA Health University Hospital,Mobile,242,11320,84597,970316,-88.0978832,30.7072006,"2451 University Hospital Dr, Mobile, AL 36617, USA",01097,Mobile County
97,AL,Vaughan Regional Medical Center,Selma,109,3933,13323,612065,-87.0560274,32.4292268,"1015 Medical Center Pkwy, Selma, AL 36701, USA",01047,Dallas County
98,AL,Walker Baptist Medical Center,Jasper,259,6157,27701,1032309,-87.2360037,33.8422088,"3400 Hwy 78 E, Jasper, AL 35501, USA",01127,Walker County
99,AL,Whitfield Regional Hospital,Demopolis,67,1361,7929,103099,-87.83639889999999,32.504485,"105 US-80, Demopolis, AL 36732, USA",01091,Marengo County
100,AL,Wiregrass Medical Center,Geneva,145,580,3208,37897,-85.89230409999999,31.0488668,"1200 W Maple Ave, Geneva, AL 36340, USA",01061,Geneva County
101,AR,Arkansas Heart Hospital,Little Rock,112,5293,21758,647303,-92.2880157,34.7444618,"Little Rock, AR, USA",05119,Pulaski County
102,AR,Arkansas Heart Hospital Encore Medical Center,Bryant,34,2284,11034,150357,-92.5208991,34.6132379,"1901 Encore Way, Bryant, AR 72019, USA",05125,Saline County
103,AR,Arkansas Methodist Medical Center,Paragould,129,2656,11908,204760,-90.4984992,36.0517501,"900 W Kingshighway, Paragould, AR 72450, USA",05055,Greene County
104,AR,Arkansas Surgical Hospital,North Little Rock,47,2803,5520,221028,-92.3485444,34.8002051,"5201 Northshore Dr, North Little Rock, AR 72118, USA",05119,Pulaski County
105,AR,Baptist Health Medical Center - Conway,Conway,111,3505,16591,379982,-92.4195732,35.0565232,"1555 Exchange Ave, Conway, AR 72032, USA",05045,Faulkner County
106,AR,Baptist Health Medical Center - Hot Spring County,Malvern,69,1415,5900,79499,-92.7859599,34.3586605,"1001 Scheider Dr, Malvern, AR 72104, USA",05059,Hot Spring County
107,AR,Baptist Health Medical Center - North Little Rock,North Little Rock,224,11501,57880,1039469,-92.2232013,34.7836328,"3333 Springhill Dr, North Little Rock, AR 72117, USA",05119,Pulaski County
108,AR,Baptist Health Medical Center - Stuttgart,Stuttgart,49,693,2519,90414,-91.5582488,34.5178455,"1703 N Buerkle St, Stuttgart, AR 72160, USA",05001,Arkansas County
109,AR,Baptist Health Medical Center- Little Rock,Little Rock,809,28224,179370,2598866,-92.38119569999999,34.7441024,"9601 Baptist Health Dr, Little Rock, AR 72205, USA",05119,Pulaski County
110,AR,Baptist Health-Fort Smith,Fort Smith,321,11894,64517,1850525,-94.41977399999999,35.3741136,"1001 Towson Ave, Fort Smith, AR 72901, USA",05131,Sebastian County
111,AR,Baptist Health-Van Buren,Van Buren,74,382,1213,82464,-94.33891919999999,35.4355303,"211 Crawford Memorial Dr, Van Buren, AR 72956, USA",05033,Crawford County
112,AR,Baptist Memorial Hospital - Crittenden,West Memphis,11,503,1525,166425,-90.1773529,35.168248,"2100 N 7th St, West Memphis, AR 72301, USA",05035,Crittenden County
113,AR,Baxter Health,Mountain Home,211,9530,35732,761879,-92.3961782,36.3422657,"624 Hospital Dr, Mountain Home, AR 72653, USA",05005,Baxter County
114,AR,Cabot Emergency Hospital,Cabot,0,0,0,0,-92.03478369999999,34.9816286,"212 Willie Ray Dr, Cabot, AR 72023, USA",05085,Lonoke County
115,AR,Chambers Memorial Hospital,Danville,42,1412,4012,57995,-93.38803209999999,35.0545137,"719 Detroit St, Danville, AR 72833, USA",05149,Yell County
116,AR,CHI St. Vincent Hot Springs,Hot Springs,229,13294,52451,1001711,-93.0663313,34.4679994,"300 Werner St, Hot Springs, AR 71913, USA",05051,Garland County
117,AR,CHI St. Vincent Infirmary,Little Rock,419,13609,90135,1821199,-92.3393435,34.7502877,"2 St Vincent Cir, Little Rock, AR 72205, USA",05119,Pulaski County
118,AR,CHI St. Vincent North,Sherwood,68,3369,17476,381818,-92.2091176,34.8134889,"2215 Wildwood Ave, Sherwood, AR 72120, USA",05119,Pulaski County
119,AR,Conway Regional Medical Center,Conway,150,8333,40985,915488,-92.4366522,35.0917506,"Conway, AR, USA",05045,Faulkner County
120,AR,Drew Memorial Hospital,Monticello,60,2136,7812,108303,-91.81655359999999,33.6108313,"778 Scogin Dr, Monticello, AR 71655, USA",05043,Drew County
121,AR,Fayetteville VA Medical Center,Fayetteville,0,0,0,0,-94.1600768,36.0809288,"1100 N College Ave, Fayetteville, AR 72703, USA",05143,Washington County
122,AR,Forrest City Medical Center,Forrest City,62,1716,5948,158039,-90.7759382,35.0398741,"1601 New Castle Rd, Forrest City, AR 72335, USA",05123,St. Francis County
123,AR,Fort Smith ER & Hospital,Fort Smith,0,0,0,0,-94.3812399,35.3390947,"4701 Phoenix Ave, Fort Smith, AR 72903, USA",05131,Sebastian County
124,AR,Great River Medical Center,Blytheville,28,1779,7209,100590,-89.9171434,35.9431133,"1520 N Division St, Blytheville, AR 72315, USA",05093,Mississippi County
125,AR,Helena Regional Medical Center,Helena,127,551,1433,82706,-90.6271793,34.5102191,"1801 Martin Luther King Jr Dr, Helena, AR 72342, USA",05107,Phillips County
126,AR,Jefferson Regional Medical Center,Pine Bluff,290,7547,37458,788526,-92.01771289999999,34.1884665,"1600 W 40th Ave, Pine Bluff, AR 71603, USA",05069,Jefferson County
127,AR,John L. McClellan Memorial Veterans Hospital,Little Rock,0,0,0,0,-92.3204701,34.746427,"4300 W 7th St, Little Rock, AR 72205, USA",05119,Pulaski County
128,AR,Johnson Regional Medical Center,Clarksville,90,1470,5229,78806,-93.4442636,35.4617876,"1100 E Poplar St, Clarksville, AR 72830, USA",05071,Johnson County
129,AR,Levi Hospital,Hot Springs National Park,53,2,2,14290,-93.05718949999999,34.510017,"300 Prospect Ave, Hot Springs, AR 71901, USA",05051,Garland County
130,AR,Magnolia Regional Medical Center,Magnolia,29,924,3613,71566,-93.2390277,33.2742611,"101 Hospital Dr, Magnolia, AR 71753, USA",05027,Columbia County
131,AR,Medical Center of South Arkansas,El Dorado,121,2962,13366,499967,-92.6705605,33.2184706,"700 W Grove St, El Dorado, AR 71730, USA",05139,Union County
132,AR,Mena Regional Health System,Mena,65,1037,2985,75379,-94.22178910000001,34.5891088,"311 Morrow St N, Mena, AR 71953, USA",05113,Polk County
133,AR,Mercy Hospital Fort Smith,Fort Smith,256,16588,75225,1506596,-94.3525758,35.3559562,"7301 Rogers Ave, Fort Smith, AR 72903, USA",05131,Sebastian County
134,AR,Mercy Hospital Northwest Arkansas,Rogers,270,13470,59688,1436538,-94.18294069999999,36.3092179,"2710 S Rife Medical Ln, Rogers, AR 72758, USA",05007,Benton County
135,AR,Mercy Orthopedic Hospital Fort Smith,Fort Smith,0,0,0,0,-94.343941,35.346882,"3601 S 79th St, Fort Smith, AR 72903, USA",05131,Sebastian County
136,AR,National Park Medical Center,Hot Springs,163,4567,22444,1067491,-93.0355917,34.4864274,"1910 Malvern Ave, Hot Springs, AR 71901, USA",05051,Garland County
137,AR,NEA Baptist Memorial Hospital,Jonesboro,204,10840,54223,1262446,-90.63670429999999,35.8668678,"4800 E Johnson Ave, Jonesboro, AR 72401, USA",05031,Craighead County
138,AR,North Arkansas Regional Medical Center,Harrison,134,2063,8709,294809,-93.1088122,36.2360596,"620 N Main St, Harrison, AR 72601, USA",05009,Boone County
139,AR,Northwest Health Physicians' Specialty Hospital,Fayetteville,20,1122,1775,167459,-94.1341929,36.1214331,"3873 Parkview Dr, Fayetteville, AR 72703, USA",05143,Washington County
140,AR,Northwest Medical Center - Bentonville,Bentonville,121,5192,22923,238959,-94.19129389999999,36.3401491,"3000 Medical Center Pkwy, Bentonville, AR 72712, USA",05007,Benton County
141,AR,Northwest Medical Center - Springdale,Springdale,308,13670,65745,2362894,-94.1366848,36.1801842,"609 W Maple Ave, Springdale, AR 72764, USA",05143,Washington County
142,AR,Ouachita County Medical Center,Camden,82,969,4287,113285,-92.8368414,33.57567960000001,"638 California Ave SW, Camden, AR 71701, USA",05103,Ouachita County
143,AR,Saint Mary's Regional Health System,Russellville,157,4719,21157,814536,-93.1501268,35.2835311,"1808 W Main St, Russellville, AR 72801, USA",05115,Pope County
144,AR,Saline Memorial Hospital,Benton,161,3724,16279,343864,-92.5850773,34.5730612,"1 Medical Park Dr, Benton, AR 72015, USA",05125,Saline County
145,AR,Sevier County Medical Center,De Queen,0,0,0,0,-94.32033059999999,34.1063814,"960 U. S. Hwy 71, De Queen, AR 71832, USA",05133,Sevier County
146,AR,Siloam Springs Regional Hospital,Siloam Springs,64,1533,6087,401149,-94.50753639999999,36.1897352,"603 N Progress Ave, Siloam Springs, AR 72761, USA",05007,Benton County
147,AR,St. Bernards Five Rivers Medical Center,Pocahontas,41,637,2167,41819,-90.99726779999999,36.2898391,"2801 Medical Center Dr, Pocahontas, AR 72455, USA",05121,Randolph County
148,AR,St. Bernards Medical Center,Jonesboro,398,20459,98571,1261830,-90.7026009,35.8366503,"225 E Washington Ave, Jonesboro, AR 72401, USA",05031,Craighead County
149,AR,Unity Health - Jacksonville,Jacksonville,0,0,0,0,-92.124839,34.873582,"1400 Braden St, Jacksonville, AR 72076, USA",05119,Pulaski County
150,AR,Unity Health - Newport,Newport,0,0,0,0,-91.2647442,35.6084218,"1205 McLain St, Newport, AR 72112, USA",05067,Jackson County
151,AR,Unity Health - White County Medical Center,Searcy,234,10333,47566,788442,-91.6972428,35.2521978,"3214 E Race Ave, Searcy, AR 72143, USA",05145,White County
152,AR,University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,521,25768,150933,1334667,-92.3204416,34.7490846,"4301 W Markham St, Little Rock, AR 72205, USA",05119,Pulaski County
153,AR,Wadley Regional Medical Center at Hope,Hope,48,331,1213,69563,-93.5851916,33.648297,"2001 S Main St, Hope, AR 71801, USA",05057,Hempstead County
154,AR,Washington Regional Medical Center,Fayetteville,377,15292,76535,1629305,-94.15937740000001,36.1096432,"3215 N Northhills Blvd, Fayetteville, AR 72703, USA",05143,Washington County
155,AR,White River Medical Center,Batesville,212,7649,33762,630015,-91.63476299999999,35.767563,"1710 Harrison St, Batesville, AR 72501, USA",05063,Independence County
156,AR,Willow Creek Women's Hospital,Johnson,30,3357,11571,38243,-94.18631839999999,36.1354902,"4301 Greathouse Springs Rd, Johnson, AR 72741, USA",05143,Washington County
158,AZ,Abrazo Arizona Heart Hospital,Phoenix,0,0,0,0,-112.0397179,33.4812137,"1930 E Thomas Rd, Phoenix, AZ 85016, USA",04013,Maricopa County
159,AZ,Abrazo Arrowhead Campus,Glendale,270,15603,69689,3651546,-112.201219,33.6547318,"18701 N 67th Ave, Glendale, AZ 85308, USA",04013,Maricopa County
160,AZ,Abrazo Cave Creek Hospital,Cave Creek,0,0,0,0,-111.9685682,33.7989419,"5227 E Carefree Hwy, Cave Creek, AZ 85331, USA",04013,Maricopa County
161,AZ,Abrazo Central Campus,Phoenix,177,5985,32810,1325596,-112.10203,33.5249264,"2000 W Bethany Home Rd, Phoenix, AZ 85015, USA",04013,Maricopa County
162,AZ,Abrazo Scottsdale Campus,Phoenix,128,4105,18415,1167628,-111.9978315,33.6394145,"3929 E Bell Rd, Phoenix, AZ 85032, USA",04013,Maricopa County
163,AZ,Abrazo Surprise Hospital,Surprise,0,0,0,0,-112.420629,33.6376892,"16815 W Bell Rd, Surprise, AZ 85374, USA",04013,Maricopa County
164,AZ,Abrazo West Campus,Goodyear,197,11959,61133,2600494,-112.3534925,33.4616973,"13677 W McDowell Rd, Goodyear, AZ 85395, USA",04013,Maricopa County
165,AZ,Arizona Specialty Hospital,Chandler,24,786,1683,163107,-111.891233,33.3337537,"2905 W Warner Rd, Chandler, AZ 85224, USA",04013,Maricopa County
166,AZ,Arizona Spine and Joint Hospital,Mesa,23,1308,1551,202395,-111.734826,33.3805687,"4620 E Baseline Rd, Mesa, AZ 85206, USA",04013,Maricopa County
